"Year","Team","GP","W","L","Tie","Pts","GF","GA","PIM","Att.","Coach","Playoff","OTL","SOL"
2007,"New York Rangers",82,42,30,NA,94,242,216,1109,18200,"Tom Renney","Lost in round 2",5,5
2007,"New York Islanders",82,40,30,NA,92,248,240,1062,12886,"Ted Nolan","Lost in round 1",7,5
2007,"Philadelphia Flyers",82,22,48,NA,56,214,303,1301,19282,"Hitchcock, Stevens {+}","Out of Playoffs",6,6
2007,"Detroit Red Wings",82,50,19,NA,113,254,199,982,20066,"Mike Babcock","Lost in round 3",5,8
2007,"Nashville Predators",82,51,23,NA,110,272,212,1179,15259,"Barry Trotz","Lost in round 1",3,5
2007,"St. Louis Blues",82,34,35,NA,81,214,254,1223,12520,"Kitchen, Murray {+}","Out of Playoffs",7,6
2007,"Columbus Blue Jackets",82,33,42,NA,73,201,249,1357,16401,"Gallant, Agnew, Hitchcock {+}","Out of Playoffs",2,5
2007,"Chicago Blackhawks",82,31,42,NA,71,201,258,1332,12727,"Yawney, Savard {+}","Out of Playoffs",2,7
2007,"Buffalo Sabres",82,53,22,NA,113,308,242,1200,18690,"Lindy Ruff","Lost in round 3",3,4
2007,"Ottawa Senators",82,48,25,NA,105,288,222,1173,19372,"Bryan Murray","Lost in Finals",3,6
2007,"Toronto Maple Leafs",82,40,31,NA,91,258,269,1139,19487,"Paul Maurice","Out of Playoffs",4,7
2007,"Montreal Canadiens",82,42,34,NA,90,245,256,1133,21273,"Guy Carbonneau","Out of Playoffs",1,5
2007,"Boston Bruins",82,35,41,NA,76,219,289,1256,14764,"Dave Lewis","Out of Playoffs",2,4
2007,"Vancouver Canucks",82,49,26,NA,105,222,201,1206,18630,"Alain Vigneault","Lost in round 2",3,4
2007,"Minnesota Wild",82,48,26,NA,104,235,191,862,18543,"Jacques Lemaire","Lost in round 1",1,7
2007,"Calgary Flames",82,43,29,NA,96,258,226,1204,19289,"Jim Playfair","Lost in round 1",5,5
2007,"Colorado Avalanche",82,44,31,NA,95,272,251,884,17612,"Joel Quenneville","Out of Playoffs",3,4
2007,"Edmonton Oilers",82,32,43,NA,71,195,248,1285,16839,"Craig MacTavish","Out of Playoffs",4,3
2007,"Anaheim Ducks",82,48,20,NA,110,258,208,1457,16389,"Randy Carlyle","Won Championship",4,10
2007,"San Jose Sharks",82,51,26,NA,107,258,199,955,17422,"Ron Wilson","Lost in round 2",3,2
2007,"Dallas Stars",82,50,25,NA,107,226,197,1133,17914,"Dave Tippett","Lost in round 1",3,4
2007,"Los Angeles Kings",82,27,41,NA,68,227,283,1239,16859,"Marc Crawford","Out of Playoffs",8,6
2007,"Phoenix Coyotes",82,31,46,NA,67,216,284,1445,14988,"Wayne Gretzky","Out of Playoffs",3,2
2007,"Atlanta Thrashers",82,43,28,NA,97,246,245,1097,16240,"Bob Hartley","Lost in round 1",7,4
2007,"Tampa Bay Lightning",82,44,33,NA,93,253,261,897,19876,"John Tortorella","Lost in round 1",3,2
2007,"Carolina Hurricanes",82,40,34,NA,88,241,253,1021,17386,"Peter Laviolette","Out of Playoffs",3,5
2007,"Florida Panthers",82,35,31,NA,86,247,257,1181,15370,"Jacques Martin","Out of Playoffs",8,8
2007,"Washington Capitals",82,28,40,NA,70,235,286,1233,13929,"Glen Hanlon","Out of Playoffs",3,11
2008,"Pittsburgh Penguins",82,47,27,NA,102,247,216,1179,17076,"Michel Therrien","Lost in Finals",4,4
2008,"New Jersey Devils",82,46,29,NA,99,206,197,974,15564,"Brent Sutter","Lost in round 1",3,4
2008,"New York Rangers",82,42,27,NA,97,213,199,1154,18200,"Tom Renney","Lost in round 2",4,9
2008,"Philadelphia Flyers",82,42,29,NA,95,248,233,1471,19556,"John Stevens","Lost in round 3",5,6
2008,"New York Islanders",82,35,38,NA,79,194,243,1041,13640,"Ted Nolan","Out of Playoffs",6,3
2008,"Detroit Red Wings",82,54,21,NA,115,257,184,937,18870,"Mike Babcock","Won Championship",2,5
2008,"Nashville Predators",82,41,32,NA,91,230,229,1027,14910,"Barry Trotz","Lost in round 1",4,5
2008,"Chicago Blackhawks",82,40,34,NA,88,239,235,1383,16814,"Denis Savard","Out of Playoffs",4,4
2008,"Columbus Blue Jackets",82,34,36,NA,80,193,218,1325,14823,"Ken Hitchcock","Out of Playoffs",4,8
2008,"St. Louis Blues",82,33,36,NA,79,205,237,1153,17610,"Andy Murray","Out of Playoffs",8,5
2008,"Montreal Canadiens",82,47,25,NA,104,262,222,1090,21273,"Guy Carbonneau","Lost in round 2",4,6
2008,"Boston Bruins",82,41,29,NA,94,212,222,1069,15384,"Claude Julien","Lost in round 1",5,7
2008,"Ottawa Senators",82,43,31,NA,94,261,247,1175,19821,"Paddock, Murray {+}","Lost in round 1",3,5
2008,"Buffalo Sabres",82,39,31,NA,90,255,242,1004,19950,"Lindy Ruff","Out of Playoffs",3,9
2008,"Toronto Maple Leafs",82,36,35,NA,83,231,260,1087,19434,"Paul Maurice","Out of Playoffs",7,4
2008,"Minnesota Wild",82,44,28,NA,98,223,218,1098,18568,"Jacques Lemaire","Lost in round 1",2,8
2008,"Colorado Avalanche",82,44,31,NA,95,231,219,995,16842,"Joel Quenneville","Lost in round 2",4,3
2008,"Calgary Flames",82,42,30,NA,94,229,227,1342,19289,"Mike Keenan","Lost in round 1",7,3
2008,"Vancouver Canucks",82,39,33,NA,88,213,215,1474,18630,"Alain Vigneault","Out of Playoffs",1,9
2008,"Edmonton Oilers",82,41,35,NA,88,235,251,1175,16839,"Craig MacTavish","Out of Playoffs",2,4
2008,"San Jose Sharks",82,49,23,NA,108,222,193,1075,17411,"Ron Wilson","Lost in round 2",4,6
2008,"Anaheim Ducks",82,47,27,NA,102,205,191,1481,17193,"Randy Carlyle","Lost in round 1",1,7
2008,"Dallas Stars",82,45,30,NA,97,242,207,1176,18038,"Dave Tippett","Lost in round 3",4,3
2008,"Phoenix Coyotes",82,38,37,NA,83,214,231,1193,14820,"Wayne Gretzky","Out of Playoffs",1,6
2008,"Los Angeles Kings",82,32,43,NA,71,231,266,954,16606,"Marc Crawford","Out of Playoffs",4,3
2008,"Washington Capitals",82,43,31,NA,94,242,231,975,15472,"Hanlon, Boudreau {+}","Lost in round 1",4,4
2008,"Carolina Hurricanes",82,43,33,NA,92,252,249,1183,16633,"Peter Laviolette","Out of Playoffs",3,3
2008,"Florida Panthers",82,38,35,NA,85,216,226,1026,15436,"Jacques Martin","Out of Playoffs",3,6
2008,"Atlanta Thrashers",82,34,40,NA,76,216,272,1077,15831,"Hartley, Waddell {+}","Out of Playoffs",2,6
2008,"Tampa Bay Lightning",82,31,42,NA,71,223,267,1040,18692,"John Tortorella","Out of Playoffs",8,1
2009,"New Jersey Devils",82,51,27,NA,106,244,209,1058,15790,"Brent Sutter","Lost in round 1",2,2
2009,"Philadelphia Flyers",82,44,27,NA,99,264,238,1434,19545,"John Stevens","Lost in round 1",5,6
2009,"Pittsburgh Penguins",82,45,28,NA,99,264,239,1114,16975,"Therrien, Bylsma {+}","Won Championship",3,6
2009,"New York Rangers",82,43,30,NA,95,210,218,1199,18172,"Renney, Tortorella {+}","Lost in round 1",3,6
2009,"New York Islanders",82,26,47,NA,61,201,279,1216,13773,"Scott Gordon","Out of Playoffs",4,5
2009,"Detroit Red Wings",82,51,21,NA,112,295,244,824,19865,"Mike Babcock","Lost in Finals",6,4
2009,"Chicago Blackhawks",82,46,24,NA,104,264,216,1157,22247,"Savard, Quenneville {+}","Lost in round 3",5,7
2009,"St. Louis Blues",82,41,31,NA,92,233,233,1248,18554,"Andy Murray","Lost in round 1",4,6
2009,"Columbus Blue Jackets",82,41,31,NA,92,226,230,1227,15543,"Ken Hitchcock","Lost in round 1",3,7
2009,"Nashville Predators",82,40,34,NA,88,213,233,994,15010,"Barry Trotz","Out of Playoffs",3,5
2009,"Boston Bruins",82,53,19,NA,116,274,196,1028,17039,"Claude Julien","Lost in round 2",4,6
2009,"Montreal Canadiens",82,41,30,NA,93,249,247,1229,21273,"Carbonneau, Gainey {+}","Lost in round 1",4,7
2009,"Buffalo Sabres",82,41,32,NA,91,250,234,1121,18531,"Lindy Ruff","Out of Playoffs",4,5
2009,"Ottawa Senators",82,36,35,NA,83,217,237,1098,18949,"Hartsburg, Clouston {+}","Out of Playoffs",5,6
2009,"Toronto Maple Leafs",82,34,35,NA,81,250,293,1125,19312,"Ron Wilson","Out of Playoffs",6,7
2009,"Vancouver Canucks",82,45,27,NA,100,246,220,1351,18630,"Alain Vigneault","Lost in round 2",3,7
2009,"Calgary Flames",82,46,30,NA,98,254,248,1299,19289,"Mike Keenan","Lost in round 1",4,2
2009,"Minnesota Wild",82,40,33,NA,89,219,200,889,18568,"Jacques Lemaire","Out of Playoffs",6,3
2009,"Edmonton Oilers",82,38,35,NA,85,234,248,1247,16839,"Craig MacTavish","Out of Playoffs",5,4
2009,"Colorado Avalanche",82,32,45,NA,69,199,257,1062,15429,"Tony Granato","Out of Playoffs",1,4
2009,"San Jose Sharks",82,53,18,NA,117,257,204,1053,17488,"Todd McLellan","Lost in round 1",6,5
2009,"Anaheim Ducks",82,42,33,NA,91,245,238,1426,16990,"Randy Carlyle","Lost in round 2",4,3
2009,"Dallas Stars",82,36,35,NA,83,230,257,1144,17680,"Dave Tippett","Out of Playoffs",5,6
2009,"Los Angeles Kings",82,34,37,NA,79,207,234,1207,16488,"Terry Murray","Out of Playoffs",3,8
2009,"Phoenix Coyotes",82,36,39,NA,79,208,252,1092,14875,"Wayne Gretzky","Out of Playoffs",4,3
2009,"Washington Capitals",82,50,24,NA,108,272,245,1041,18097,"Bruce Boudreau","Lost in round 2",3,5
2009,"Carolina Hurricanes",82,45,30,NA,97,239,226,802,16572,"Laviolette, Maurice {+}","Lost in round 3",2,5
2009,"Florida Panthers",82,41,30,NA,93,234,231,900,15621,"Peter DeBoer","Out of Playoffs",3,8
2009,"Atlanta Thrashers",82,35,41,NA,76,257,280,1256,14626,"John Anderson","Out of Playoffs",5,1
2009,"Tampa Bay Lightning",82,24,40,NA,66,210,279,1306,16497,"Melrose, Tocchet {+}","Out of Playoffs",8,10
2010,"New Jersey Devils",82,48,27,NA,103,222,191,859,15535,"Jacques Lemaire","Lost in round 1",2,5
2010,"Pittsburgh Penguins",82,47,28,NA,101,257,237,1195,17078,"Dan Bylsma","Lost in round 2",5,2
2010,"Philadelphia Flyers",82,41,35,NA,88,236,225,1362,19535,"Stevens, Laviolette {+}","Lost in Finals",3,3
2010,"New York Rangers",82,38,33,NA,87,222,218,1159,18076,"John Tortorella","Out of Playoffs",7,4
2010,"New York Islanders",82,34,37,NA,79,222,264,950,12735,"Scott Gordon","Out of Playoffs",5,6
2010,"Chicago Blackhawks",82,52,22,NA,112,271,209,924,21356,"Joel Quenneville","Won Championship",2,6
2010,"Detroit Red Wings",82,44,24,NA,102,229,216,723,19546,"Mike Babcock","Lost in round 2",5,9
2010,"Nashville Predators",82,47,29,NA,100,225,225,710,14979,"Barry Trotz","Lost in round 1",2,4
2010,"St. Louis Blues",82,40,32,NA,90,225,223,1318,18883,"Murray, Payne {+}","Out of Playoffs",5,5
2010,"Columbus Blue Jackets",82,32,35,NA,79,216,259,1086,15416,"Hitchcock, Noel {+}","Out of Playoffs",5,10
2010,"Buffalo Sabres",82,45,27,NA,100,235,207,918,18529,"Lindy Ruff","Lost in round 1",4,6
2010,"Ottawa Senators",82,44,32,NA,94,225,238,1141,18269,"Cory Clouston","Lost in round 1",1,5
2010,"Boston Bruins",82,39,30,NA,91,206,200,953,17388,"Claude Julien","Lost in round 2",4,9
2010,"Montreal Canadiens",82,39,33,NA,88,217,223,936,21273,"Jacques Martin","Lost in round 3",5,5
2010,"Toronto Maple Leafs",82,30,38,NA,74,214,267,1091,19260,"Ron Wilson","Out of Playoffs",10,4
2010,"Vancouver Canucks",82,49,28,NA,103,272,222,1269,18810,"Alain Vigneault","Lost in round 2",1,4
2010,"Colorado Avalanche",82,43,30,NA,95,244,233,1027,13947,"Joe Sacco","Lost in round 1",4,5
2010,"Calgary Flames",82,40,32,NA,90,204,210,1143,19289,"Brent Sutter","Out of Playoffs",3,7
2010,"Minnesota Wild",82,38,36,NA,84,219,246,924,18415,"Todd Richards","Out of Playoffs",1,7
2010,"Edmonton Oilers",82,27,47,NA,62,214,284,1133,16839,"Pat Quinn","Out of Playoffs",2,6
2010,"San Jose Sharks",82,51,20,NA,113,264,215,1155,17558,"Todd McLellan","Lost in round 3",5,6
2010,"Phoenix Coyotes",82,50,25,NA,107,225,202,925,11989,"Dave Tippett","Lost in round 1",1,6
2010,"Los Angeles Kings",82,46,27,NA,101,241,219,979,17313,"Terry Murray","Lost in round 1",1,8
2010,"Anaheim Ducks",82,39,32,NA,89,238,251,1321,15168,"Randy Carlyle","Out of Playoffs",3,8
2010,"Dallas Stars",82,37,31,NA,88,237,254,963,17215,"Marc Crawford","Out of Playoffs",4,10
2010,"Washington Capitals",82,54,15,NA,121,318,233,940,18277,"Bruce Boudreau","Lost in round 1",7,6
2010,"Atlanta Thrashers",82,35,34,NA,83,234,256,1053,13607,"John Anderson","Out of Playoffs",7,6
2010,"Tampa Bay Lightning",82,34,36,NA,80,217,260,1377,15497,"Rick Tocchet","Out of Playoffs",5,7
2010,"Carolina Hurricanes",82,35,37,NA,80,230,256,966,15240,"Paul Maurice","Out of Playoffs",5,5
2010,"Florida Panthers",82,32,37,NA,77,208,244,977,15146,"Peter DeBoer","Out of Playoffs",3,10
2011,"Philadelphia Flyers",82,47,23,NA,106,259,223,1119,19715,"Peter Laviolette","Lost in round 2",5,7
2011,"Pittsburgh Penguins",82,49,25,NA,106,238,199,1388,18240,"Dan Bylsma","Lost in round 1",5,3
2011,"New York Rangers",82,44,33,NA,93,233,198,1074,18108,"John Tortorella","Lost in round 1",2,3
2011,"New Jersey Devils",82,38,39,NA,81,174,209,765,14775,"MacLean, Lemaire {+}","Out of Playoffs",3,2
2011,"New York Islanders",82,30,39,NA,73,229,264,1515,11059,"Gordon, Capuano {+}","Out of Playoffs",7,6
2011,"Detroit Red Wings",82,47,25,NA,104,261,241,754,19680,"Mike Babcock","Lost in round 2",6,4
2011,"Nashville Predators",82,44,27,NA,99,219,194,720,16142,"Barry Trotz","Lost in round 2",7,4
2011,"Chicago Blackhawks",82,44,29,NA,97,258,225,742,21423,"Joel Quenneville","Lost in round 1",4,5
2011,"St. Louis Blues",82,38,33,NA,87,240,234,1225,19150,"Davis Payne","Out of Playoffs",5,6
2011,"Columbus Blue Jackets",82,34,35,NA,81,215,258,1113,13658,"Scott Arniel","Out of Playoffs",5,8
2011,"Boston Bruins",82,46,25,NA,103,246,195,1115,17565,"Claude Julien","Won Championship",5,6
2011,"Buffalo Sabres",82,43,29,NA,96,245,229,958,18452,"Lindy Ruff","Lost in round 1",9,1
2011,"Montreal Canadiens",82,44,30,NA,96,216,209,1097,21273,"Jacques Martin","Lost in round 1",5,3
2011,"Toronto Maple Leafs",82,37,34,NA,85,218,251,985,19354,"Ron Wilson","Out of Playoffs",5,6
2011,"Ottawa Senators",82,32,40,NA,74,192,250,1149,18378,"Cory Clouston","Out of Playoffs",5,5
2011,"Vancouver Canucks",82,54,19,NA,117,262,185,943,18860,"Alain Vigneault","Lost in Finals",4,5
2011,"Calgary Flames",82,41,29,NA,94,250,237,836,19289,"Brent Sutter","Out of Playoffs",5,7
2011,"Minnesota Wild",82,39,35,NA,86,206,233,983,18012,"Todd Richards","Out of Playoffs",3,5
2011,"Colorado Avalanche",82,30,44,NA,68,227,288,1077,14820,"Joe Sacco","Out of Playoffs",7,1
2011,"Edmonton Oilers",82,25,45,NA,62,193,269,1270,16839,"Tom Renney","Out of Playoffs",3,9
2011,"San Jose Sharks",82,48,25,NA,105,248,213,931,17562,"Todd McLellan","Lost in round 3",4,5
2011,"Phoenix Coyotes",82,43,26,NA,99,231,226,863,12188,"Dave Tippett","Lost in round 1",7,6
2011,"Anaheim Ducks",82,47,30,NA,99,239,235,1178,14738,"Randy Carlyle","Lost in round 1",3,2
2011,"Los Angeles Kings",82,46,30,NA,98,219,198,962,18083,"Terry Murray","Lost in round 1",4,2
2011,"Dallas Stars",82,42,29,NA,95,227,233,1066,15073,"Marc Crawford","Out of Playoffs",4,7
2011,"Washington Capitals",82,48,23,NA,107,224,197,926,18397,"Bruce Boudreau","Lost in round 2",5,6
2011,"Tampa Bay Lightning",82,46,25,NA,103,247,240,905,17268,"Guy Boucher","Lost in round 3",5,6
2011,"Carolina Hurricanes",82,40,31,NA,91,236,239,835,16415,"Paul Maurice","Out of Playoffs",6,5
2011,"Atlanta Thrashers",82,34,36,NA,80,223,269,930,13469,"Craig Ramsay","Out of Playoffs",5,7
2011,"Florida Panthers",82,30,40,NA,72,195,229,716,15685,"Peter DeBoer","Out of Playoffs",5,7
2012,"New York Rangers",82,51,24,NA,109,226,187,0,18192,"John Tortorella","Lost in round 3",2,5
2012,"Pittsburgh Penguins",82,51,25,NA,108,282,221,0,18566,"Dan Bylsma","Lost in round 1",3,3
2012,"Philadelphia Flyers",82,47,26,NA,103,264,232,0,20433,"Peter Laviolette","Lost in round 2",2,7
2012,"New Jersey Devils",82,48,28,NA,102,228,209,0,15397,"Peter DeBoer","Lost in Finals",2,4
2012,"New York Islanders",82,34,37,NA,79,203,255,0,13191,"Jack Capuano","Out of Playoffs",7,4
2012,"St. Louis Blues",82,49,22,NA,109,210,165,0,18810,"Payne, Hitchcock {+}","Lost in round 2",1,10
2012,"Nashville Predators",82,48,26,NA,104,237,210,0,16691,"Barry Trotz","Lost in round 2",3,5
2012,"Detroit Red Wings",82,48,28,NA,102,248,203,0,20066,"Mike Babcock","Lost in round 1",3,3
2012,"Chicago Blackhawks",82,45,26,NA,101,248,238,0,21534,"Joel Quenneville","Lost in round 1",4,7
2012,"Columbus Blue Jackets",82,29,46,NA,65,202,262,0,14660,"Arniel, Richards {+}","Out of Playoffs",2,5
2012,"Boston Bruins",82,49,29,NA,102,269,202,0,17565,"Claude Julien","Lost in round 1",1,3
2012,"Ottawa Senators",82,41,31,NA,92,249,240,0,19356,"Paul MacLean","Lost in round 1",6,4
2012,"Buffalo Sabres",82,39,32,NA,89,218,230,0,18550,"Lindy Ruff","Out of Playoffs",4,7
2012,"Toronto Maple Leafs",82,35,37,NA,80,231,264,0,19507,"Wilson, Carlyle {+}","Out of Playoffs",5,5
2012,"Montreal Canadiens",82,31,35,NA,78,212,226,0,21273,"Martin, Cunneyworth {+}","Out of Playoffs",4,12
2012,"Vancouver Canucks",82,51,22,NA,111,249,198,0,18884,"Alain Vigneault","Lost in round 1",2,7
2012,"Calgary Flames",82,37,29,NA,90,202,226,0,19289,"Brent Sutter","Out of Playoffs",7,9
2012,"Colorado Avalanche",82,41,35,NA,88,208,220,0,15499,"Joe Sacco","Out of Playoffs",4,2
2012,"Minnesota Wild",82,35,36,NA,81,177,226,0,17773,"Mike Yeo","Out of Playoffs",2,9
2012,"Edmonton Oilers",82,32,40,NA,74,212,239,0,16839,"Tom Renney","Out of Playoffs",3,7
2012,"Phoenix Coyotes",82,42,27,NA,97,216,204,0,12421,"Dave Tippett","Lost in round 3",3,10
2012,"San Jose Sharks",82,43,29,NA,96,228,210,0,17562,"Todd McLellan","Lost in round 1",5,5
2012,"Los Angeles Kings",82,40,27,NA,95,194,179,0,17920,"Murray, Stevens, Sutter {+}","Won Championship",6,9
2012,"Dallas Stars",82,42,35,NA,89,211,222,0,14227,"Glen Gulutzan","Out of Playoffs",1,4
2012,"Anaheim Ducks",82,34,36,NA,80,204,231,0,14760,"Carlyle, Boudreau {+}","Out of Playoffs",5,7
2012,"Florida Panthers",82,38,26,NA,94,203,227,0,16628,"Kevin Dineen","Lost in round 1",7,11
2012,"Washington Capitals",82,42,32,NA,92,222,230,0,18506,"Boudreau, Hunter {+}","Lost in round 2",4,4
2012,"Tampa Bay Lightning",82,38,36,NA,84,235,281,0,18468,"Guy Boucher","Out of Playoffs",5,3
2012,"Winnipeg Jets",82,37,35,NA,84,225,246,0,15004,"Claude Noel","Out of Playoffs",6,4
2012,"Carolina Hurricanes",82,33,33,NA,82,213,243,0,16043,"Maurice, Muller {+}","Out of Playoffs",10,6
2013,"Pittsburgh Penguins",48,36,12,NA,72,165,119,0,18648,"Dan Bylsma","Lost in round 3",0,0
2013,"New York Rangers",48,26,18,NA,56,130,112,0,17200,"John Tortorella","Lost in round 2",0,4
2013,"New York Islanders",48,24,17,NA,55,139,139,0,13307,"Jack Capuano","Lost in round 1",4,3
2013,"Philadelphia Flyers",48,23,22,NA,49,133,141,0,19787,"Peter Laviolette","Out of Playoffs",1,2
2013,"New Jersey Devils",48,19,19,NA,48,112,129,0,17114,"Peter DeBoer","Out of Playoffs",3,7
2013,"Chicago Blackhawks",48,36,7,NA,77,155,102,0,21776,"Joel Quenneville","Won Championship",0,5
2013,"St. Louis Blues",48,29,17,NA,60,129,115,0,17901,"Ken Hitchcock","Lost in round 1",1,1
2013,"Detroit Red Wings",48,24,16,NA,56,124,115,0,20066,"Mike Babcock","Lost in round 2",3,5
2013,"Columbus Blue Jackets",48,24,17,NA,55,120,119,0,14565,"Todd Richards","Out of Playoffs",3,4
2013,"Nashville Predators",48,16,23,NA,41,111,139,0,16974,"Barry Trotz","Out of Playoffs",3,6
2013,"Montreal Canadiens",48,29,14,NA,63,149,126,0,21273,"Michel Therrien","Lost in round 1",3,2
2013,"Boston Bruins",48,28,14,NA,62,131,109,0,17565,"Claude Julien","Lost in Finals",3,3
2013,"Toronto Maple Leafs",48,26,17,NA,57,145,133,0,19426,"Randy Carlyle","Lost in round 1",0,5
2013,"Ottawa Senators",48,25,17,NA,56,116,104,0,19408,"Paul MacLean","Lost in round 2",2,4
2013,"Buffalo Sabres",48,21,21,NA,48,125,143,0,18970,"Ruff, Rolston {+}","Out of Playoffs",2,4
2013,"Vancouver Canucks",48,26,15,NA,59,127,121,0,18948,"Alain Vigneault","Lost in round 1",1,6
2013,"Minnesota Wild",48,26,19,NA,55,122,127,0,18795,"Mike Yeo","Lost in round 1",1,2
2013,"Edmonton Oilers",48,19,22,NA,45,125,134,0,16839,"Ralph Krueger","Out of Playoffs",4,3
2013,"Calgary Flames",48,19,25,NA,42,128,160,0,19289,"Bob Hartley","Out of Playoffs",1,3
2013,"Colorado Avalanche",48,16,25,NA,39,116,152,0,15445,"Joe Sacco","Out of Playoffs",5,2
2013,"Anaheim Ducks",48,30,12,NA,66,140,118,0,15888,"Bruce Boudreau","Lost in round 1",3,3
2013,"Los Angeles Kings",48,27,16,NA,59,133,118,0,18179,"Darryl Sutter","Lost in round 3",1,4
2013,"San Jose Sharks",48,25,16,NA,57,124,116,0,17562,"Todd McLellan","Lost in round 2",3,4
2013,"Phoenix Coyotes",48,21,18,NA,51,125,131,0,13924,"Dave Tippett","Out of Playoffs",3,6
2013,"Dallas Stars",48,22,22,NA,48,130,142,0,17063,"Glen Gulutzan","Out of Playoffs",3,1
2013,"Washington Capitals",48,27,18,NA,57,149,130,0,18506,"Adam Oates","Lost in round 1",3,0
2013,"Winnipeg Jets",48,24,21,NA,51,128,144,0,15004,"Claude Noel","Out of Playoffs",0,3
2013,"Carolina Hurricanes",48,19,25,NA,42,128,160,0,17560,"Kirk Muller","Out of Playoffs",3,1
2013,"Tampa Bay Lightning",48,18,26,NA,40,148,150,0,19056,"Boucher, Cooper {+}","Out of Playoffs",1,3
2013,"Florida Panthers",48,15,27,NA,36,112,171,0,16992,"Kevin Dineen","Out of Playoffs",5,1
2014,"Boston Bruins",82,54,19,NA,117,261,177,886,17565,"Claude Julien","Lost in round 2",3,6
2014,"Tampa Bay Lightning",82,46,27,NA,101,240,215,844,18612,"Jon Cooper","Lost in round 1",3,6
2014,"Montreal Canadiens",82,46,28,NA,100,215,204,1063,21273,"Michel Therrien","Lost in round 3",5,3
2014,"Detroit Red Wings",82,39,28,NA,93,222,230,725,22150,"Mike Babcock","Lost in round 1",6,9
2014,"Ottawa Senators",82,37,31,NA,88,236,265,1094,18109,"Paul MacLean","Out of Playoffs",7,7
2014,"Toronto Maple Leafs",82,38,36,NA,84,231,256,1040,19447,"Randy Carlyle","Out of Playoffs",4,4
2014,"Florida Panthers",82,29,45,NA,66,196,268,848,14525,"Dineen, Horachek {+}","Out of Playoffs",2,6
2014,"Buffalo Sabres",82,21,51,NA,52,157,248,903,18580,"Rolston, Nolan {+}","Out of Playoffs",5,5
2014,"Colorado Avalanche",82,52,22,NA,112,250,220,891,16296,"Patrick Roy","Lost in round 1",4,4
2014,"St. Louis Blues",82,52,23,NA,111,248,191,1162,17498,"Ken Hitchcock","Lost in round 1",4,3
2014,"Chicago Blackhawks",82,46,21,NA,107,267,220,699,22623,"Joel Quenneville","Lost in round 3",7,8
2014,"Minnesota Wild",82,43,27,NA,98,207,206,783,18506,"Mike Yeo","Lost in round 2",4,8
2014,"Dallas Stars",82,40,31,NA,91,235,228,900,15421,"Lindy Ruff","Lost in round 1",6,5
2014,"Nashville Predators",82,38,32,NA,88,216,242,808,16600,"Barry Trotz","Out of Playoffs",3,9
2014,"Winnipeg Jets",82,37,35,NA,84,227,237,973,15004,"Noel, Maurice {+}","Out of Playoffs",4,6
2014,"Pittsburgh Penguins",82,51,24,NA,109,249,207,832,18618,"Dan Bylsma","Lost in round 2",4,3
2014,"New York Rangers",82,45,31,NA,96,218,193,817,18006,"Alain Vigneault","Lost in Finals",3,3
2014,"Philadelphia Flyers",82,42,30,NA,94,236,235,1180,19839,"Laviolette, Berube {+}","Lost in round 1",2,8
2014,"Columbus Blue Jackets",82,43,32,NA,93,231,216,910,14698,"Todd Richards","Lost in round 1",5,2
2014,"Washington Capitals",82,38,30,NA,90,235,240,960,18506,"Adam Oates","Out of Playoffs",3,11
2014,"New Jersey Devils",82,35,29,NA,88,197,208,656,15868,"Peter DeBoer","Out of Playoffs",5,13
2014,"Carolina Hurricanes",82,36,35,NA,83,207,230,650,15484,"Kirk Muller","Out of Playoffs",7,4
2014,"New York Islanders",82,34,37,NA,79,225,267,1015,14741,"Jack Capuano","Out of Playoffs",5,6
2014,"Anaheim Ducks",82,54,20,NA,116,266,209,894,16469,"Bruce Boudreau","Lost in round 2",2,6
2014,"San Jose Sharks",82,51,22,NA,111,249,200,737,17562,"Todd McLellan","Lost in round 1",2,7
2014,"Los Angeles Kings",82,46,28,NA,100,206,174,876,19018,"Darryl Sutter","Won Championship",2,6
2014,"Phoenix Coyotes",82,37,30,NA,89,216,231,810,13776,"Dave Tippett","Out of Playoffs",8,7
2014,"Vancouver Canucks",82,36,35,NA,83,196,223,1115,19771,"John Tortorella","Out of Playoffs",4,7
2014,"Calgary Flames",82,35,40,NA,77,209,241,858,19302,"Bob Hartley","Out of Playoffs",4,3
2014,"Edmonton Oilers",82,29,44,NA,67,203,270,966,16828,"Dallas Eakins","Out of Playoffs",6,3
2015,"Montreal Canadiens",82,50,22,NA,110,221,189,0,21287,"Michel Therrien","Lost in round 2",5,5
2015,"Tampa Bay Lightning",82,50,24,NA,108,262,211,0,18823,"Jon Cooper","Lost in Finals",3,5
2015,"Detroit Red Wings",82,43,25,NA,100,235,221,0,20027,"Mike Babcock","Lost in round 1",4,10
2015,"Ottawa Senators",82,43,26,NA,99,238,215,0,18247,"MacLean, Cameron {+}","Lost in round 1",6,7
2015,"Boston Bruins",82,41,27,NA,96,213,211,0,17565,"Claude Julien","Out of Playoffs",4,10
2015,"Florida Panthers",82,38,29,NA,91,206,223,0,11271,"Gerard Gallant","Out of Playoffs",5,10
2015,"Toronto Maple Leafs",82,30,44,NA,68,211,262,0,19063,"Carlyle, Horachek {+}","Out of Playoffs",3,5
2015,"Buffalo Sabres",82,23,51,NA,54,161,274,0,18581,"Ted Nolan","Out of Playoffs",3,5
